emission_form,emission_type,burn_type,recommended_factor,factor_unit
固定源,煤,自產煤,2.3328598392,KgCO2/Kg
固定源,煤,原料煤,2.6932847040000003,KgCO2/Kg
固定源,煤,燃料煤,2.4081133824000003,KgCO2/Kg
固定源,煤,無煙煤,2.9220933240000004,KgCO2/Kg
固定源,煤,焦煤,2.6932847040000003,KgCO2/Kg
固定源,煤,煙煤,2.4081133824000003,KgCO2/Kg
固定源,煤,次煙煤(發電業),1.9715222520000002,KgCO2/Kg
固定源,煤,次煙煤(其他),2.2531682880000004,KgCO2/Kg
固定源,煤,褐煤,1.2026331792,KgCO2/Kg
固定源,煤,油頁岩,0.9528696252000001,KgCO2/Kg
固定源,煤,泥煤,1.0353872664000001,KgCO2/Kg
固定源,煤,煤球,1.5512094,KgCO2/Kg
固定源,煤,焦炭,3.1359132000000005,KgCO2/Kg
固定源,燃料油,石油焦,3.3473466000000003,KgCO2/Kg
固定源,燃料油,航空汽油,2.19807,KgCO2/L
固定源,燃料油,航空燃油,2.3948496,KgCO2/L
固定源,燃料油,原油,2.7620319600000003,KgCO2/L
固定源,燃料油,奧里油,2.1190274028,KgCO2/Kg
固定源,燃料油,天然氣凝結油,2.8395246038400006,KgCO2/M3
固定源,燃料油,煤油,2.5587628200000005,KgCO2/L
固定源,燃料油,頁岩油,2.7945625586400005,KgCO2/Kg
固定源,燃料油,柴油,2.6060317920000005,KgCO2/L
固定源,燃料油,車用汽油,2.2631328720000004,KgCO2/L
固定源,燃料油,蒸餘油 (燃料油),3.1109598720000005,KgCO2/L
固定源,燃料油,液化石油氣,1.7528812758000003,KgCO2/L
固定源,燃料油,石油腦,2.3937610320000005,KgCO2/L
固定源,燃料油,柏油,3.3787476000000005,KgCO2/L
固定源,燃料油,潤滑油,2.9461674240000004,KgCO2/L
固定源,燃料油,其他油品,2.7620319600000003,KgCO2/L
固定源,燃料氣,乙烷,2.8601872992,KgCO2/L
固定源,燃料氣,天然氣,1.8790358400000002,KgCO2/M3
固定源,燃料氣,煉油氣,2.1704371200000003,KgCO2/M3
固定源,燃料氣,焦爐氣,0.7807544640000001,KgCO2/M3
固定源,燃料氣,高爐氣,0.8458173360000001,KgCO2/M3
固定源,其他燃料,一般廢棄物,0.7570207885212001,KgCO2/Kg
固定源,其他燃料,事業廢棄物,-,-
固定源,其他燃料,其他非化石燃料,-,-
固定源,生質燃料,木頭－固態,-,-
固定源,生質燃料,黑液,-,-
固定源,生質燃料,木炭,-,-
固定源,生質燃料,其他固體生質燃料,-,-
固定源,生質燃料,生質汽油,-,-
固定源,生質燃料,生質柴油,-,-
固定源,生質燃料,其他液態生質燃料,-,-
固定源,生質燃料,掩埋場沼氣,-,-
固定源,生質燃料,污泥沼氣,-,-
固定源,生質燃料,其他氣態生質燃料,-,-
移動源,燃料油,航空汽油,2.19807,KgCO2/L
移動源,燃料油,航空燃油,2.3948496,KgCO2/L
移動源,燃料油,車用汽油,2.2631328720000004,KgCO2/L
移動源,燃料油,柴油,2.6060317920000005,KgCO2/L
移動源,燃料油,煤油,2.5587628200000005,KgCO2/L
移動源,燃料油,潤滑油,2.9461674240000004,KgCO2/L
移動源,燃料油,液化石油氣,1.7528812758000003,KgCO2/L
移動源,燃料油,液化天然氣,2.1139153200000003,KgCO2/M3
